file_name,component_count,total_instances
[Zalon Archive] User Side - Style Advice_Working,1,0
"Creator Ecosystem - Explorations, Reviews",1,0
Plus Pre-Sale App Specs,1,0
Sell items,1,0
App cart banner on top,1,0
TDE Adjacency - Baseline File,1,0
TDE - Playground 3,1,0
Sales Refresh 2025,1,0
"Archived Exploration: Light, Dark, Mono mode",1,0
Returns,1,0
QPE - Discovery (Forward motion),1,0
Omnibus - Reviews Blackjack,1,0
Style Profile (Brand & Size),1,0
Rebrand Personal Shopping,1,0
[MASTER FILE] Hyped Sales M0 and M1,1,0
TDE - Specs (Copy),1,0
Beauty gorgeous,1,0
Activity based browsing,1,0
Project Omnibus - Reviews (Archive),1,0
Style Profile_Past explorations 1,1,0
CONFIG Explorations,1,0
Illustration Explorations,1,0
SDD Exploration,1,0
Type cleanup,1,0
Order Cutoffs,1,0
🛝🪩 Discovery Feed - Design Playground,1,0
SC M1 – Execution 👷‍♂️,1,0
Profile / Solution Design,1,0
Specs - Size Advice with Body Measurement,1,0
test,1,0
[M3] Modular Checkout - Saving Pick up Points - Designs (Delivery),1,0
[CLM] Notification Center (Copy),1,0
ASO MVP Screens 2024 refresh (App + PlayStore)  Localisations,1,0
ASO Screens 2024 refresh (App + PlayStore),1,0
[CLM] Notification Center,1,0
ZFA Design Playground,1,0
ASO Screens 2022 (App + PlayStore)  Localisations,1,0
QPE - Evaluation based on media,1,0
ESPIxZalando,1,0
Project Omnibus - Pricing,1,0
Bin - PISA - Product Information for Self-Assessment,1,0
ASO Cyber MVP Screens 2024 refresh (App + PlayStore)  Localisations (EL141024),1,0
Back in Stock - Early Access - Plus,1,0
Digital Sports Dialogs,1,0
Sustainability claims,1,0
ZDS - Moments exploration (Copy),1,0
[ARCHIVE] Rituals / Weekly Design Reviews (2024),1,0
Local - Customer Proposition (Phase 2),1,0
Instalment Reviews,1,0
UAE: User Account UX,1,0
Beauty - Multisizes + Samples,1,0
S&F,1,0
PUP Uplift 2025,1,0
Pillar 1 - WEB PDP,1,0
Light_Branding_Freelancer_2025-04,1,0
Purchase web flow designed with ZDS,1,0
Archive - Trend Spotter,1,0
2nd tab: F&LD,1,0
Mix&Match - Main File - Foundational experience + upselling,1,0
Beauty Profile - Design review,1,0
[Zalon Archive] User Side - Style Advice_Archived,1,0
Project HEBE + Pillar 1 contribution,1,0
[ ARCHIVED ] [ UI & UX ]  —  Working File / Phase 02 (Archive),1,0
Zalando Live M0,1,0
[M1] Modular Checkout - Single Starting Point,1,0
Rituals / Weekly Design Reviews (2025),1,0
Beauty PDP – Discovery + M1,1,0
☠️User Account (Graveyard),1,0
Payments Transactional Emails,1,0
Beauty colour experience - Baseline File,1,0
Zalando Live - M1,1,0
ASO Concept Exploration 2025,1,0
__Presentation,1,0
Explorations – Unified Documentation,1,0
"Tabs, navigations",1,0
Improving Priority Access: Phase 1 Proposition Awareness,1,0
The Statement - Theming,1,0
Specs - Size Advice with Body Measurement (Copy),1,0
[Archive] 🎨 Home Feed ('25),1,0
Gorgeous - Baseline File,1,0
Sephora - Specs,1,0
Search - investigation,1,0
CX / Playground,1,0
[WIP] Keylines,1,0
Beauty Profile - M1,1,0
Targeted Coupons M2,1,0
Plus Missions for Propositions - Baseline File,1,0
Exploration / 1st tab on app (Copy),1,0
Launch scope 2021,1,0
Pillar 1 - APP PDP,1,0
Beauty Profile,1,0
LPO-Catalog-Tests,1,0
Adaptive M2 - PDP,1,0
Typography_Brand Refresh_Sprint_Sept2024,1,0
CuCa: Self Help - Templates (Libelle),1,0
Exploration: Dark mode,1,0
"PayPal Mandates — Design Playground, 11.2025",1,0
Wardrobe (post-weave),1,0
iOS 26 implications,1,0
Brand Profile (Social Profile),1,0
QPE 2025 CX vision archive,1,0
Self Help: Returns & Refunds,1,0
[ ARCHIVED ] [ UI & UX ]  —  Working File / Phase 01,1,0
"Notice & Action Mechanism, IP and RO _Working file",1,0
Beauty Replenishment - Baseline File,1,0
🚧 WIP - Tailored Designer Experience - Specs (Copy),1,0
NCR Onboarding M0,1,0
AFC Refresh,1,0
MDS - Materials,1,0
[Archive] Fashion-Driven Browsing Experience as of 2020 04 07,1,0
Trinity CX,1,0
Recommended size filter,1,0
🎨 Home Feed ('25) Launch -> Cyber,1,0
Plus EA - M1 & M2,1,0
Plus Early access,1,0
Eye shadow finder - Baseline File,1,0
Durability Experience,1,0
Proof-of-Concepts [ZMS project vision - Leandro],1,0
Team Sprint_Brand Refresh_Nov2024,1,0
Recycle x Zalando,1,0
Designer - Shoppable Images,1,0
Focus Outline (ZDS Components),1,0
Hyped Sales -Archived Files,1,0
Exploration / Fast and For Me,1,0
Plus + Statement M2,1,0
Lokalise - Wardrobe + Zircle (Reference),1,0
AI Boards,1,0
[Archived] Pillar 1 - Web - Reviews,1,0
Style It / OB (2026) (Copy),1,0
Style It / OB (2026),1,0
ARCHIVE Zalando Assistant elevated experience,1,0
EPCX Accessibility - Baseline File,1,0
Accessibility M2 - Size & Fit Design,1,0
TDE Wayfinding - Baseline File,1,0
Backstage New File,1,0
Top bar (Collapsible header),1,0
Purchase Accessibility Updates,1,0
Framework for UGC,1,0
Outfit Building Experience (StyleIt),1,0
PPCCS,1,0
Knight M2 - Drive Engagement,1,0
Trend Spotter,1,0
Header Migration,1,0
PaymentSDK - Draft,1,0
gerrit-subline,1,0
Follow creators,1,0
Beauty user account - Design review,1,0
Archived_Welcome experience - Onboarding,1,0
Product Content 2.X,1,0
Sell items (Copy),1,0
Sharing in Wardrobe - Solution Design,1,0
Label Header & Footer,1,0
Label Header & Footer (Copy),1,0
Cyber Week CX 2025,1,0
Reco SDD Beauty Profile,1,0
Co-badged Cards Scheme - Design Playground,1,0
Sephora Loyalty Integration,1,0
Returns - Repaint & Label [ARCHIVE],1,0
Creative check-in identity documentation,1,0
ZDS Next explorations,1,0
Plus Home,1,0
Beauty Sampling (Copy),1,0
TDE - Playground 2,1,0
Wardrobe (post-weave) - Outdated designs,1,0
Fashion-Driven Browsing Experience (Copy),1,0
"[Archive] Buy Now Pay Later —  Use Case Document New Experience, 01.2021",1,0
CCD 2.0 Consumer Credit Directive - Design Space,1,0
[M2] Modular Checkout - Plus Upsell,1,0
Fashion-Driven Browsing Experience,1,0
CLM New Onboarding Project,1,0
Beauty Profile Branding ⎮ Explorations,1,0
Icon/pictogram Explorations,1,0
Measurements Profile Design,1,0
Exploration,1,0
Plus Exclusivity ARCHIVE,1,0
[Archive] Main Causes Explorations,1,0
Product Circularity Comms,1,0
x Archive - 2021-10 - Mobile order fulfilment,1,0
12_Diffusion Model,1,0
🚀[FEATURE] Dark mode documentation,1,0
Reviews - Project Omnibus,1,0
DSA Main Design File,1,0
Plus Pay-Per-Use,1,0
Archive 2,1,0
ZDS starter file: styles/components,1,0
Boards icons (Maya),1,0
Design color token swatches,1,0
Contributing icons from boards (MAYA),1,0
Icon Documentation Improvement,1,0
Core Journey CX,1,0
CW15 - Flows iteration,1,0
Beauty Items - Explorations - Archive,1,0
CX / Check-Ins,1,0
NCR Registration Nov2020,1,0
Annotations update,1,0
Target Areas,1,0
Wardrobe + Zircle,1,0
Partner Day '25 - Storyboard,1,0
Partner Day '25 - Storyboard (Copy),1,0
GC Xmas,1,0
Archive - VFR exploration,1,0
Working File_Advertising,1,0
Zalando Assistant Standalone Experience,1,0
ASO Screens 2024 v2,1,0
[NOT UPDATED/NOT UP-TO-DATE] Catalog audit Rule book = Catalog + Showstoppers,1,0
Plus Booster,1,0
Storytelling M0 - Early Explorations,1,0
ASO Screens 2024 V1,1,0
"Exploration: Component States (hover, focus)",1,0
Accessibility Path based gestures,1,0
Plus Identity — Working file explorations,1,0
Zalando Livestream Platform (Product Iterations),1,0
Colours,1,0
Guideline refinement: inner padding,1,0
🗂️ UPDATE DOCUMENTATION [#1],1,0
PISA - Brand Refresh & Comparison,1,0
Tooling Vision,1,0
"MobileSDK — Design Playground, 2021",1,0
Content Design X Brand Refresh,1,0
Feed – Baseline CX,1,0
Sales Experience 2020 - Overall Journey,1,0
Scrim Gradient,1,0
M1.2 Redemption - Modular Checkout,1,0
Exploration: Android Navigation Bar,1,0
SCM1 Onboarding 2.0,1,0
Shoppable Video - Baseline File,1,0
Layout (Indentation),1,0
Zalando Tablet: Deliverable from Edenspiekermann 2021 (Z Copy),1,0
Remarkable Release 2022,1,0
Working file_Recommender Systems,1,0
Creator Sponsored Experience - Concepts,1,0
Gorgeous - Explorations,1,0
FitGAN,1,0
Beauty Color picker - White swatch usecase,1,0
Pizza Box - CONCEPT,1,0
Team Sprint_Brand Refresh_Nov2024 (Copy),1,0
[ARCHIVED] ASO (App + Play Store) - Localisations,1,0
Designer - Promo,1,0
Grid,1,0
Beauty PDP – Glanceable Highlights,1,0
Project Ronny,1,0
Perfect Pairing,1,0
Plus Pre-sale Archive,1,0
🚀 Update tab,1,0
Sustainability Mission [ Loyalty ],1,0
Brand refresh Zalando app & web Stage0+ (fka min-ex),1,0
Causes on PDP - visibility,1,0
2022 May - VFR x ZMS journeys for iniative doc,1,0
PayPal Mandates - Archive,1,0
🚀[FEATURE] Updating badge component,1,0
Gift Cards CR Improvements - PDP Renderer,1,0
Premises - Loyalty V1 - Responsive Web Designs,1,0
Beauty Sampling - Discovery,1,0
Self Help: Delivery Use Case,1,0
(Archive) [ Tivoli VIDEO ]  CW2-CW4 2022,1,0
Update a11y spec,1,0
Outfit Builder Click-Prototypes BACKUP,1,0
🚀[FEATURE] Document tokens on components,1,0
[Copy] PDP - Baseline File (2023),1,0
PDP - Baseline File / Master file,1,0
[ARCHIVE] Sell flow design tickets,1,0
TDE Content - Playground,1,0
Working File_Advertising (Copy),1,0
What's next,1,0
🇫🇷 French Anti Waste Law,1,0
FDBE Phase 3,1,0
Top Navigation - Baseline File,1,0
YiR (working file),1,0
Omnibus-Checkout Process,1,0
App Tracking Transparency (ATT) - Solution Design,1,0
Order+Returns tracking_Convert Lounge,1,0
MDS - CW 45,1,0
🕵️ Discovery Feed - CX Vision > Pilot Check-in - Feb 24,1,0
Size advice concept matrix and entry/exit journeys (was Concepts from Workshop),1,0
Sephora Partner Integration - Baseline File,1,0
Designer CX_M2,1,0
Trend Spotter: Trend Led Experience,1,0
ASO (App + Play Store) - Tier 3 Markets,1,0
Contingency plan,1,0
Sephora - Explorations,1,0
Sephora Configuration & Content - Baseline File,1,0
Exploration / 2nd tab on app,1,0
Design - PISA - Product Information for Self-Assessment,1,0
ZDS NEXT guidelines,1,0
[ UI & UX ]  —  Paul <> Tivoli,1,0
Dynamic Text Exploration,1,0
S12Y Northstar Visual Explorations ✨,1,0
"(SCA) Strong Customer Authentication — Design Playground, 05.2024",1,0
(Archived)[ VIDEO ]  —  Luke <> Tivoli,1,0
[MASTER FILE] Gift Cards,1,0
EOS Sale 20 - Sales Banner (Multi-entry point Banner),1,0
2023 Jan - Design Playground - VFRxZMS - Pilot 3,1,0
Croatia dual pricing,1,0
Component Exploration: Search Bar (Copy),1,0
MDS - Storyboard,1,0
Beauty VTO - Baseline File,1,0
[Snapshot Copy 10.11.2025] Live Stream  - ZLP Audience View (Product Iterations),1,0
Archived - Plus Pay-Per-Use,1,0
3_Body measurements,1,0
[Archived] UAE: SSO (Sign-in & Registration),1,0
Customer SSO - Group (M1-3),1,0
ZA Entry Points,1,0
(Archived 2.12) [ VIDEO ]  —  Luke <> Tivoli,1,0
[ Archive ] Remarkable Release 2022,1,0
2022 Feb - VFR mobile version - after user testing,1,0
CX / Toolbox,1,0
ASO (App + Play Store) - Localisations,1,0
ASO (App + Play Store) - Localisations (Copy),1,0
ZDS - Moments exploration,1,0
Motion Briefing App Statement,1,0
Bulgaria dual pricing,1,0
Wanderlust - Customer Journeys,1,0
Transforming the Checkout Platform (TCP),1,0
💡[EXPERIMENT] Test dev mode,1,0
[ ARCHIVED ] [ UI & UX ]  —  Working File / Phase 02,1,0
🐛 [BUG/FIX] Migrate PDP,1,0
🎠 Carousels | Dynamic Text,1,0
✨ ZDS Library: Tile Improvements ✨,1,0
Channel Steering & Helpfulness Rating,1,0
[COMPONENT/NEW] Country Code,1,0
Shipment tracking page facelift,1,0
Testzzzzz draft,1,0
Contacts & Ratings - Usability Testing Prototype,1,0
Modular PDP - Prototyping,1,0
(Archived 3.12) [ VIDEO ]  —  Luke <> Tivoli (Copy),1,0
[ARCHIVE] Trade-in flow redesign concept study,1,0
🤝 Design 🤝 Engineering handoffs 🤝,1,0
ZDS library: tiles,1,0
🚀[FEATURE] Update Links documentation (semantic naming),1,0
[M2] Modular Checkout - Plus Upsell (Copy),1,0
[Experiment] Generic card payment icon - Design Playground,1,0
Beauty - Dangerous Goods - Baseline File,1,0
ZDS 2.0 Graveyard,1,0
[MASTER FILE] Purchase Apps,1,0
MDS - Beauty Review (CW45),1,0
ASO (App + Play Store) - Localisations (Copy) (Copy) (Copy),1,0
👠 Library / CXP Tiles [Showstopper],1,0
Pillar 1 - M2 Topics,1,0
User Account New Experience,1,0
👠 Library / CXP Tiles [Dynamic text],1,0
Summer of Sports Experience,1,0
Avatar Personalisation,1,0
(Archive 15.12)[ VIDEO ]  —  Luke <> Tivoli,1,0
ZALANDO X SEPHORA UI components specs,1,0
QPE - All details,1,0
Weave Release - Design Prototype (Copy),1,0
Weave Release - Design Prototype,1,0
__Presentation 1,1,0
"[Archive_2_DF] Buy Now Pay Later — Use Case Document New Experience Archive, 07.2021",1,0
Untitled,1,0
Incentive banner (2),1,0
Exploration: Design tokens,1,0
Saige Play & Practice,1,0
🚀 [FEATURE] Update Accordion documentation - Highlight tag,1,0
Exploration: ASO,1,0
Apple Pay at Checkout - Design Playground,1,0
MDS - Storyboard (Copy),1,0
🧩 ZDS Library: Tiles [acc-1],1,0
Product Cards - Removal of Sustainability Icon,1,0
"Buy Now Pay Later —  All Cases, 01.2022",1,0
(Archive 17.12) [ VIDEO ]  —  Luke <> Tivoli,1,0
CX Vision,1,0
CPC: Solution Design,1,0
Brand exploration,1,0
AI Content Generation,1,0
Wardrobe and homepage WIP,1,0
Sales Banner | image removal,1,0
Plus Rebranding BE & M2 Exp,1,0
Style Profile - Outdated designs,1,0
CW22 Visual Exploration,1,0
Plus Accessibility Base File,1,0
Cyber Week CX 2022 (Copy),1,0
GrowWithMe - Rebuy,1,0
"Payments for Order Bundling — User Testing, 02.2024",1,0
[ARCHIVE] Plus Upsell in apps Checkout,1,0
Semantic colour,1,0
CUCA: Self Help - Return Transformation - Prototype & Design,1,0
[DX-Sust] App - Causes,1,0
Tabs - All brands page (Web),1,0
Plus x Cyber Week 2024,1,0
ASO (App + Play Store) - Localisations (Copy) (Copy),1,0
Exploration: Badges,1,0
Welcome experience - Onboarding,1,0
Future Stock,1,0
"Buy Now Pay Later — Design Playground, 06.2022",1,0
Statement / Production & Engineering Guidelines,1,0
(Archived 13.12) [ VIDEO ]  —  Luke <> Tivoli,1,0
plugin-test,1,0
Digital Gift Delivery 'Pick-A-Size' (Copy),1,0
💡[EXPERIMENTAL] Update Flags documentation,1,0
Cyber Week CX 2023,1,0
Elevated Experience,1,0
Directory Fashion lifestyle  - Design exploration Koli,1,0
frog_Zalando_Design_System_components,1,0
Cyber Week 2021 Experience,1,0
ASO Exploration 2024,1,0
VFR UI,1,0
Outfit Builder (ARCHIVE),1,0
Hyped Sales M0,1,0
Instalments - Design Playground,1,0
Dark mode for PDP tiles,1,0
PDP & BR: Action sheets,1,0
⌨️ Accessibility: Full Keyboard Access (for Apps),1,0
Creator Profile (Social Profile),1,0
UCT Breakdown,1,0
QPE - Product highlights panel - Baseline File,1,0
"[ WORKSHOP ]  —  Persona, CX & UI (CW44)",1,0
Exploration: Layout,1,0
Zalando Live (Copy),1,0
Pre-owned Baseline,1,0
🚀 [FEATURE] Vertical & Horizontla Product card,1,0
Pillar 1 - Giftwrapping,1,0
[Archived] WEB+APP Product Cards,1,0
Pricing annotation,1,0
ZDS starter file: tiles,1,0
ZDS Library: Components (ZDS Only),1,0
Grebban Presentation and Final delivery,1,0
PDP | Ratings & Reviews,1,0
Unified doc: Exploration - Search,1,0
Entry points for Body Measurement,1,0
[ Archive ] [ UI & UX ]  —  Tivoli Documentation & Prototypes (Restored verrsion),1,0
Designer - 2028 Vision & Strategy,1,0
Cyber Week CX 2024,1,0
2025 Sports CX Vision,1,0
TDE - Design Reviews,1,0
Fit Visualisation Enhancement - Baseline file,1,0
Ratings & Reviews | Product Card Rating Preview,1,0
(Archived 8.12) [ VIDEO ]  —  Luke <> Tivoli,1,0
Content Tiles – Web,1,0
Pre-owned explorations,1,0
Size&Fit Vision - Concepts wireframes,1,0
Profile nudging and content hierarchy,1,0
Beauty Detail - Box,1,0
🍀 Sustainability Light Branding,1,0
Marketing Services | Min-Yu | Home Feed Ads parity,1,0
"Brand Home Tooling - Backfill, Order & Color Snapping for Main Stage",1,0
Exploration - feature onboading,1,0
Onboarding update,1,0
MDS - Wireframes,1,0
Designer - Innovation,1,0
I/E Outfit module flow,1,0
Offer Selection - Milestone 1,1,0
2025_Q1_App Statement,1,0
Reviews - Translations,1,0
PDP - Native Tablet,1,0
Product card documentation,1,0
Product Card l Cart,1,0
PDP | CLM notify me update,1,0
Partner Days 25 - Propositions,1,0
[Archived] Pillar 1 - App - Reviews,1,0
Customer Carrier Choice,1,0
Dynamic page M1,1,0
Archive-DO-NOT-USE_Designer+Label,1,0
4_Reference item,1,0
Zalando Cyber 2025,1,0
Shop Selector / Handover to Engineering,1,0
PDP | Repurchase Messaging simplification,1,0
CuCa: Self Help - Steering to CSH from FAQ,1,0
Delivery information below Add to Bag,1,0
[BR shareable] Semantic Colour,1,0
TDE Discoverability - Baseline File,1,0
Google UGC reporting,1,0
Gift with purchase - Baseline File,1,0
Local - Customer Proposition (Phase 01),1,0
Zircle decommissioning,1,0
CuCa Contacts & Ratings Usability Test Prototype,1,0
🚀[FEATURE] Migrate to colour tokens,1,0
Identity creative development,1,0
Site Map & Redesign Exploration,1,0
"[ WORKSHOP ]  —  Persona, CX & UI in Figjam (CW44)",1,0
CuCa Assistant Exploration,1,0
[FEATURE] Ratings & Reviews on PDP,1,0
EcoScore+ Explorations,1,0
ZDS Unified documentation - Contentful,1,0
Links,1,0
Showstopper with DSA Variant,1,0
"PDP | Delivery, USP & Partner info Specs",1,0
PDP | Incentive banner specs,1,0
BM Product Marketing CX,1,0
🚀 [FEATURE] Refactor Outfit cards & Reco carousel,1,0
Add CPC Tile,1,0
🚀 Radio button - checkout,1,0
Incentive banner simplification,1,0
🚀[FEATURE] Update sponsored flag on product cards,1,0
01 – Zalando app sitemap iOS (f.k.a Fashion Store),1,0
EA Partner Campaigns,1,0
Iconography,1,0
"Buy Now Pay Later —   Use Case Document New Experience (Copy), 05.2021",1,0
Art Direction / Playground [ 2024 ],1,0
SSO,1,0
Marketing Services | Dynamic Catalog showstopper,1,0
[ WORKSHOP ]  —  Content Formats / WS2,1,0
[ ARCHIVE ]Zalando Stories M2  —  Specs & Toolbox,1,0
🚀[FEATURE] Refactor Showstopper & Product card,1,0
All 2024,1,0
Content Transformation Track 2 - UC: Brand Activation,1,0
Accessibility project - PDP,1,0
TDE x Statement,1,0
🚀[FEATURE] Add product price (Omnibus),1,0
Checkout Experience,1,0
📱 Feed User Research | CW50 | Proto,1,0
🚀[FEATURE] Wardrobe 2.0 | Update Product card,1,0
PDP Contribution Model,1,0
SC M1 – Post 2. Design Sprint exploration,1,0
💡 [EXPERIMENTAL] Update Plus assets - test,1,0
App Takeover,1,0
Topic Exploration (Copy),1,0
Gift Cards Redemption,1,0
2025 Sustainability CX,1,0
Copy of CuCa AI Assistant,1,0
Product Card l Cart Web,1,0
🚀[FEATURE] Reviews | Accessibility update | Update colour of ratings number,1,0
FEATURE Add SCP icons to Product card | Catalogue,1,0
PDP | Product image gallery specs,1,0
PDP | Size picker specs,1,0
PUP 2025 (Copy),1,0
APM,1,0
Beauty Sampling - Abuse Mitigation,1,0
CPC Workshop Concept Space,1,0
Plus Loyalty Assets - Updates,1,0
CuCa: Prototype - Channel Steering & Helpfulness Rating,1,0
Beauty in Wardrobe - Baseline File,1,0
Schema Presentation,1,0
NCR images altogether,1,0
PuPs without correct receiver names,1,0
NCR - Onboarding,1,0
Sparring sessions,1,0
[ Tivoli VIDEO ]  Final Story,1,0
Cyber Week CX 2022,1,0
Go to Market Solution - (Chekov),1,0
Statement - 2024.09 September,1,0
ZFS Partner Fee,1,0
[A11y] Product Card Annotations,1,0
TDE - PRSB Explorations,1,0
Storytelling - Storyblocks Brainstorming,1,0
[Accessibility] Error Handling & Status Messages - Working File,1,0
Sprint 1 - Holistic S12Y CX: Ideation + Prototype,1,0
Checkout Experience (Copy),1,0
Ideations,1,0
ASO Variant 1,1,0
🚀 Add new variant of radio button - checkout,1,0
Designer CX_M2 Prototypes,1,0
Trade-in flow redesign concept study,1,0
"Buy Now Pay Later 2.0 — Nudge Experience — Design Playground, 04.2024",1,0
Exploration: Stepper,1,0
Prototypes - Partner Day,1,0
Theming Onboarding | Visuals,1,0
Plus Brand Refresh,1,0
Omnibus PL - Pricing changes,1,0
Gift Card Normalisation,1,0
Adaptive Fashion Specs,1,0
Sprint 1 - Holistic S12Y CX: Ideation + Prototype (Copy),1,0
Levels,1,0
🚀 Add payment logos,1,0
Switzerland Expansion,1,0
Exploration: Lists,1,0
Size Exchange Project,1,0
Visual Fitting,1,0
Plus Expressive Toolkit,1,0
Activity Based Browsing - Copy,1,0
Explorations: Filter Dropdowns,1,0
2D Sizes,1,0
Statement - 2024.12 December,1,0
Execution M1,1,0
Reviews - Legal text,1,0
Zalando_Gift Cards_v1B,1,0
The Label: Premises Redesign,1,0
Page controls,1,0
Signup experience,1,0
M0 Targeted Coupons Design Review 090321,1,0
Exploration: Shop Selector Page,1,0
[DX-Sust] WEB - Causes,1,0
Materials in Cart and Checkout,1,0
[Archive] Buy Now Pay Later — Use Case Document New Experience (Copy),1,0
Local - Customer Proposition (Final),1,0
Your Sizes Profile-Your Measurements Update,1,0
Specs - Recommended sizes filter,1,0
VAT Upgrade: B2C Invoice,1,0
"Exploration: TLN, Embedded Navigation, Tabs, Sticky",1,0
"Buy Now Pay Later — Solution Document, 09.2021",1,0
Account Recovery,1,0
Label Catalogue Final,1,0
Exploration: CCC + Notifications,1,0
Payments & Checkout + ZDS,1,0
Jeans CX Vision,1,0
[Archived] Brand Refresh – KH / Zalando Cowork,1,0
Emails - Loyalty V1,1,0
🚀[FEATURE] Add Shoppable product card Documentation,1,0
Adaptive M1.2 | Solution Design,1,0
A11y Presentation 2025,1,0
Collab & Drops (WS3),1,0
Product Recommendations in Cart,1,0
ASO Variant 3,1,0
ASO Variant 2,1,0
NCR- Onboarding,1,0
Future Stock (Copy),1,0
27.05.2024 Loyalty Design Review Print Version,1,0
Brand Voice_Guidelines_May25,1,0
Label: Colour Explorations & Contrast v1,1,0
Pre-owned x Designer [Figma],1,0
Prototypes,1,0
"iDEAL 2.0 — Design Playground, 07.2024",1,0
🚀[FEATURE] Add CPC Tile,1,0
"Buy Now Pay Later — Improvements Design Playground, 07.2022",1,0
Sales '20 CPR 05.11.20,1,0
The Statement: Landing Page Designs,1,0
Usabilla,1,0
UGC user research,1,0
HOLIDAY/CYBER 24 Product Placement,1,0
Body Scanning Process Flows,1,0
Zalando Assistant - China collaboration,1,0
🚀[FEATURE] Add nudge payment,1,0
🚀[FEATURE] Update PDP pricing,1,0
UX Carousel - Modular PDP,1,0
Targeted Coupons M0 Design Review 090321 (Copy),1,0
frog_Zalando_Design_System_tiles,1,0
🚀[FEATURE] Catalogue | Update Product card  (Omnibus),1,0
🚀[FEATURE] Popular collection carousel,1,0
🚀[FEATURE] Update product price,1,0
Tiles & Components - Loyalty V1,1,0
Mono light alternative,1,0
x Archive - 2021-09 - Mobile - Prototypes 0.1 -0.3,1,0
CuCa Self Help: Article Missing - Prototype,1,0
SWISS Checkout Flow - Concept & Proposals,1,0
Use Cases - Loyalty V1,1,0
🚀[FEATURE] Wardrobe | Update Product card  (Omnibus),1,0
"Buy Now Pay Later — CJM (Lua), 03.2021",1,0
Newsletter Teaser,1,0
x Archive - 2022-03 - Mobile order fulfillment,1,0
F&FM Sweden Grebban Assets,1,0
Plus Pre-sale Web,1,0
User Account (App),1,0
Top Days 2025 – Exploration & PA Guide,1,0
Brand Home Tooling,1,0
BLIK NPM,1,0
OUT-OF-DATE_Pillar 1 - Product Card + PDP,1,0
Outfits Program - Entry Point: Creator Space to GTL,1,0
Convenience proposition,1,0
Self Help: Mobile Archived (Restored),1,0
[ ARCHIVED ] [ UI & UX ]  —  Prototype / CW45,1,0
Statement - 2025.02 February,1,0
Vision-beauty replenishment,1,0
Prototype Explorations,1,0
Reviews - Visibilities of Reviews - Web,1,0
Adaptive M1.2 | Explorations,1,0
Accessibility M1 - PRSB,1,0
Component Exploration: Dropdowns,1,0
Holy Trinity,1,0
Trend Rewind '25 + Forecast '26,1,0
Minimum Order Value (MOV) in Checkout,1,0
TDE - Usability Test,1,0
"Buy Now Pay Later — CH, 11.2022",1,0
RW x Zalando_Writing guidance_Brand hub content,1,0
Early Drafts - Loyalty V1,1,0
Lululemon Overview,1,0
Dynamic Text Technical Specifications – Accessibility M2,1,0
[ UI & UX ]  - Tivoli Latest Designs,1,0
CD for Elephants,1,0
Statement - 2025.01 January,1,0
Body Measurements Core Flow—ZDS Alignment,1,0
